Tanggal,Tavg
8/1/2022,28.1
8/2/2022,26.6
8/3/2022,27.3
8/4/2022,27.1
8/5/2022,26.9
8/6/2022,26.8
8/7/2022,25.3
8/8/2022,26.7
8/9/2022,26.4
8/10/2022,27.2
8/11/2022,25.8
8/12/2022,29
